Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,Representative_Periods,Hours_per_period,Representative_Period_Index,Representative_Period_Weight,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
,,,,,,,,452,21001,29472,13053,29287,24156,13483
,,,,,,,,453,20995,29464,12734,27015,24137,13347
,,,,,,,,454,20187,28329,12012,25050,23241,12462
,,,,,,,,455,18329,25722,11085,22797,21412,12008
,,,,,,,,456,16548,23224,10411,21195,19753,11523
,,,,,,,,457,15486,21732,9935,19985,18887,11233
,,,,,,,,458,14618,20514,9641,19131,18226,11028
,,,,,,,,459,14099,19786,9554,18560,17962,10905
,,,,,,,,460,13687,19265,9613,18498,18129,11020
,,,,,,,,461,12897,18209,9951,18350,18931,11367
,,,,,,,,462,12225,17212,10593,18315,20568,11837
,,,,,,,,463,11709,16620,11282,18657,22452,12186
,,,,,,,,464,12063,16803,11856,19565,23601,12420
,,,,,,,,465,12727,17090,12289,20765,24132,12930
,,,,,,,,466,13666,17735,12668,22390,24502,13172
,,,,,,,,467,14224,18729,13006,24244,24805,13303
,,,,,,,,468,15024,20200,13240,25464,24947,13446
,,,,,,,,469,15905,21653,13538,27685,25048,13633
