Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Subperiods,Hours_per_period,Sub_Weights,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3
,,,,,,,,509,0.0,50125.0,3400.0
,,,,,,,,510,0.0,54622.0,3643.0
,,,,,,,,511,0.0,60440.0,3920.0
,,,,,,,,512,0.0,66723.0,4218.0
,,,,,,,,513,0.0,72486.0,4533.0
,,,,,,,,514,0.0,77317.0,4740.0
,,,,,,,,515,0.0,81142.0,4884.0
,,,,,,,,516,0.0,83923.0,5072.0
,,,,,,,,517,0.0,85438.0,5227.0
,,,,,,,,518,0.0,86111.0,5302.0
,,,,,,,,519,0.0,85669.0,5279.0
,,,,,,,,520,0.0,84306.0,5200.0
,,,,,,,,521,0.0,81334.0,5078.0
,,,,,,,,522,0.0,77965.0,4894.0
,,,,,,,,523,0.0,74942.0,4747.0
,,,,,,,,524,0.0,68934.0,4436.0
,,,,,,,,525,0.0,62140.0,4080.0
,,,,,,,,526,0.0,56379.0,3789.0
,,,,,,,,527,0.0,52283.0,3584.0
,,,,,,,,528,0.0,49523.0,3448.0
,,,,,,,,529,0.0,47630.0,3349.0
,,,,,,,,530,0.0,46887.0,3287.0
,,,,,,,,531,0.0,47959.0,3302.0
,,,,,,,,532,0.0,49801.0,3377.0
,,,,,,,,533,0.0,51932.0,3467.0
,,,,,,,,534,0.0,56197.0,3679.0
,,,,,,,,535,0.0,62042.0,3951.0
,,,,,,,,536,0.0,68850.0,4265.0
,,,,,,,,537,0.0,75152.0,4619.0
,,,,,,,,538,0.0,80343.0,4887.0
,,,,,,,,539,0.0,84553.0,5115.0
,,,,,,,,540,0.0,87069.0,5297.0
,,,,,,,,541,0.0,88057.0,5428.0
,,,,,,,,542,0.0,88086.0,5497.0
,,,,,,,,543,0.0,87685.0,5447.0
,,,,,,,,544,0.0,86248.0,5357.0
,,,,,,,,545,0.0,83180.0,5246.0
,,,,,,,,546,0.0,80567.0,5064.0
,,,,,,,,547,0.0,77898.0,4920.0
,,,,,,,,548,0.0,72185.0,4627.0
,,,,,,,,549,0.0,65807.0,4276.0
,,,,,,,,550,0.0,60284.0,3990.0
,,,,,,,,551,0.0,56387.0,3792.0
,,,,,,,,552,0.0,53384.0,3641.0
,,,,,,,,553,0.0,51355.0,3527.0
,,,,,,,,554,0.0,50539.0,3454.0
,,,,,,,,555,0.0,51450.0,3457.0
,,,,,,,,556,0.0,53155.0,3509.0
